No de Permiso,Nombre de la gasolinera,Dirección,Producto,Subproducto,Precio registrado,
PL/3151/EXP/ES/2015,SERVICIO MIRAMONTES S. A.,Avenida Plutarco Elías Calles No. 1637,Gasolinas,Premium (con contenido mínimo de 92 octanos),$24.49,
PL/3151/EXP/ES/2015,SERVICIO MIRAMONTES S. A.,Avenida Plutarco Elías Calles No. 1637,Gasolinas,Regular (con contenido menor a 92 octanos),$23.19,
PL/3202/EXP/ES/2015,CONSORCIO GASOLINERO PLUS S.A. DE C.V.,Alfonso Y Xola No. 18,Gasolinas,Premium (con contenido mínimo de 92 octanos),$24.69,
PL/3202/EXP/ES/2015,CONSORCIO GASOLINERO PLUS S.A. DE C.V.,Alfonso Y Xola No. 18,Gasolinas,Regular (con contenido menor a 92 octanos),$22.89,
PL/3204/EXP/ES/2015,CONSORCIO GASOLINERO PLUS S.A. DE C.V.,Calzada de Tlalpan No. 1395,Gasolinas,Premium (con contenido mínimo de 92 octanos),$25.99,
PL/3204/EXP/ES/2015,CONSORCIO GASOLINERO PLUS S.A. DE C.V.,Calzada de Tlalpan No. 1395,Gasolinas,Regular (con contenido menor a 92 octanos),$23.99,
PL/3279/EXP/ES/2015,SERVICIO DAKOTA S.A. DE C.V.,Avenida Dakota No. 56,Gasolinas,Premium (con un índice de octano ([RON+MON]/2) mínimo de 91),$25.75,
PL/3279/EXP/ES/2015,SERVICIO DAKOTA S.A. DE C.V.,Avenida Dakota No. 56,Gasolinas,Regular (con un índice de octano ([RON+MON]/2) mínimo de 87),$23.85,
PL/3954/EXP/ES/2015,INN NUEVA YORK S.A. DE C.V.,Calle Georgia No. 37,Gasolinas,Premium (con contenido mínimo de 92 octanos),$25.99,
PL/3954/EXP/ES/2015,INN NUEVA YORK S.A. DE C.V.,Calle Georgia No. 37,Gasolinas,Regular (con contenido menor a 92 octanos),$24.29,
PL/4112/EXP/ES/2015,CONSORCIO GASOLINERO PLUS S.A. DE C.V.,Alfonso Xiii Esquina Obrero Mundial,Gasolinas,Premium (con contenido mínimo de 92 octanos),$25.99,
PL/4112/EXP/ES/2015,CONSORCIO GASOLINERO PLUS S.A. DE C.V.,Alfonso Xiii Esquina Obrero Mundial,Gasolinas,Regular (con contenido menor a 92 octanos),$23.99,
PL/4252/EXP/ES/2015,GAS ROAN S.A. DE C.V.,Soria No. 6,Gasolinas,Premium (con contenido mínimo de 92 octanos),$24.89,
PL/4252/EXP/ES/2015,GAS ROAN S.A. DE C.V.,Soria No. 6,Gasolinas,Regular (con contenido menor a 92 octanos),$22.99,
PL/4542/EXP/ES/2015,CONSORCIO GASOLINERO PLUS S.A. DE C.V.,Avenida Universidad No. 1291 Esquina Coyoacán,Gasolinas,Premium (con contenido mínimo de 92 octanos),$25.99,
PL/4542/EXP/ES/2015,CONSORCIO GASOLINERO PLUS S.A. DE C.V.,Avenida Universidad No. 1291 Esquina Coyoacán,Gasolinas,Regular (con contenido menor a 92 octanos),$24.79,
PL/4826/EXP/ES/2015,PROMO GAS S.A. DE C.V.,Avenida Tintoreto Eje 6 Sur No. 20,Diésel,Diésel Automotriz [contenido mayor de azufre a 15 mg/kg y contenido máximo de azufre de 500 mg/kg],$24.81,
PL/4826/EXP/ES/2015,PROMO GAS S.A. DE C.V.,Avenida Tintoreto Eje 6 Sur No. 20,Diésel,Diésel de Ultra Bajo Azufre (DUBA) [contenido máximo de azufre de 15 mg/kg],$24.81,
PL/4826/EXP/ES/2015,PROMO GAS S.A. DE C.V.,Avenida Tintoreto Eje 6 Sur No. 20,Gasolinas,Premium (con un índice de octano ([RON+MON]/2) mínimo de 91),$25.71,
PL/4826/EXP/ES/2015,PROMO GAS S.A. DE C.V.,Avenida Tintoreto Eje 6 Sur No. 20,Gasolinas,Regular (con un índice de octano ([RON+MON]/2) mínimo de 87),$23.91,
PL/5883/EXP/ES/2015,FRANCISCO PADILLA ORTIZ,Peten No. 228,Gasolinas,Premium (con contenido mínimo de 92 octanos),$26.05,
PL/5883/EXP/ES/2015,FRANCISCO PADILLA ORTIZ,Peten No. 228,Gasolinas,Regular (con contenido menor a 92 octanos),$23.99,
PL/5954/EXP/ES/2015,SERVICIO CASCADIÑA S.A. DE C.V.,Caleta No. 28,Gasolinas,Premium (con un índice de octano ([RON+MON]/2) mínimo de 91),$24.75,
PL/5954/EXP/ES/2015,SERVICIO CASCADIÑA S.A. DE C.V.,Caleta No. 28,Gasolinas,Regular (con un índice de octano ([RON+MON]/2) mínimo de 87),$22.95,
PL/615/EXP/ES/2015,PETROMAX S.A. DE C.V.,Avenida Revolución No. 775,Gasolinas,Premium (con contenido mínimo de 92 octanos),$26.59,
PL/615/EXP/ES/2015,PETROMAX S.A. DE C.V.,Avenida Revolución No. 775,Gasolinas,Regular (con contenido menor a 92 octanos),$23.99,
PL/6687/EXP/ES/2015,CONSORCIO GASOLINERO PLUS S.A. DE C.V.,Calle Murillo No. 21 Y Miguel Angel,Gasolinas,Premium (con contenido mínimo de 92 octanos),$25.99,
PL/6687/EXP/ES/2015,CONSORCIO GASOLINERO PLUS S.A. DE C.V.,Calle Murillo No. 21 Y Miguel Angel,Gasolinas,Regular (con contenido menor a 92 octanos),$24.89,
PL/6696/EXP/ES/2015,CONSORCIO GASOLINERO PLUS S.A. DE C.V.,División del Norte No. 804 Y Luz Savinon,Diésel,Diésel,$24.99,
PL/6696/EXP/ES/2015,CONSORCIO GASOLINERO PLUS S.A. DE C.V.,División del Norte No. 804 Y Luz Savinon,Gasolinas,Premium (con contenido mínimo de 92 octanos),$25.99,
PL/6696/EXP/ES/2015,CONSORCIO GASOLINERO PLUS S.A. DE C.V.,División del Norte No. 804 Y Luz Savinon,Gasolinas,Regular (con contenido menor a 92 octanos),$22.99,
PL/6710/EXP/ES/2015,CONSORCIO GASOLINERO PLUS S.A. DE C.V.,Avenida Coyoacan No. 107 Esquina Avenida Providencia,Gasolinas,Premium (con contenido mínimo de 92 octanos),$25.99,
