No de Permiso,Nombre de la gasolinera,Dirección,Producto,Subproducto,Precio registrado,Unnamed: 6
PL/2443/EXP/ES/2015,GRUPO MACRUZ S.A. DE C.V.,Cumbres de Maltrata 462,Gasolinas,Regular (con contenido menor a 92 octanos),$24.29,
PL/2468/EXP/ES/2015,GASOLINERÍA MURCIA S.A. DE C.V.,Avenida Revolución 847,Diésel,Diésel,$24.99,
PL/2468/EXP/ES/2015,GASOLINERÍA MURCIA S.A. DE C.V.,Avenida Revolución 847,Gasolinas,Premium (con contenido mínimo de 92 octanos),$26.59,
PL/2468/EXP/ES/2015,GASOLINERÍA MURCIA S.A. DE C.V.,Avenida Revolución 847,Gasolinas,Regular (con contenido menor a 92 octanos),$23.99,
PL/25131/EXP/ES/2023,"CR 88, S.A.P.I. DE C.V.",Calzada de Tlalpan 842,Gasolinas,Premium (con un índice de octano ([RON+MON]/2) mínimo de 91),$25.49,
PL/25131/EXP/ES/2023,"CR 88, S.A.P.I. DE C.V.",Calzada de Tlalpan 842,Gasolinas,Regular (con un índice de octano ([RON+MON]/2) mínimo de 87),$23.49,
PL/2789/EXP/ES/2015,LENIGAS S.A. DE C.V.,Xola 732,Diésel,Diésel,$24.90,
PL/2789/EXP/ES/2015,LENIGAS S.A. DE C.V.,Xola 732,Gasolinas,Premium (con contenido mínimo de 92 octanos),$24.50,
PL/2789/EXP/ES/2015,LENIGAS S.A. DE C.V.,Xola 732,Gasolinas,Regular (con contenido menor a 92 octanos),$22.90,
PL/2901/EXP/ES/2015,SERVICIO REVOLUCIÓN 0036 S.A. DE C.V.,Avenida Revolución 420,Gasolinas,Premium (con un índice de octano ([RON+MON]/2) mínimo de 91),$26.49,
PL/2901/EXP/ES/2015,SERVICIO REVOLUCIÓN 0036 S.A. DE C.V.,Avenida Revolución 420,Gasolinas,Regular (con un índice de octano ([RON+MON]/2) mínimo de 87),$24.75,
PL/3059/EXP/ES/2015,BENZINA S.A. DE C.V.,Boulevard Adolfo López Mateos 315,Gasolinas,Premium (con un índice de octano ([RON+MON]/2) mínimo de 91),$25.60,
PL/3059/EXP/ES/2015,BENZINA S.A. DE C.V.,Boulevard Adolfo López Mateos 315,Gasolinas,Regular (con un índice de octano ([RON+MON]/2) mínimo de 87),$23.90,
PL/3151/EXP/ES/2015,SERVICIO MIRAMONTES S. A.,Avenida Plutarco Elías Calles 1637,Gasolinas,Premium (con contenido mínimo de 92 octanos),$24.49,
PL/3151/EXP/ES/2015,SERVICIO MIRAMONTES S. A.,Avenida Plutarco Elías Calles 1637,Gasolinas,Regular (con contenido menor a 92 octanos),$23.19,
PL/3202/EXP/ES/2015,CONSORCIO GASOLINERO PLUS S.A. DE C.V.,Alfonso Y Xola 18,Gasolinas,Premium (con contenido mínimo de 92 octanos),$24.69,
PL/3202/EXP/ES/2015,CONSORCIO GASOLINERO PLUS S.A. DE C.V.,Alfonso Y Xola 18,Gasolinas,Regular (con contenido menor a 92 octanos),$22.89,
PL/3204/EXP/ES/2015,CONSORCIO GASOLINERO PLUS S.A. DE C.V.,Calzada de Tlalpan 1395,Gasolinas,Premium (con contenido mínimo de 92 octanos),$25.99,
PL/3204/EXP/ES/2015,CONSORCIO GASOLINERO PLUS S.A. DE C.V.,Calzada de Tlalpan 1395,Gasolinas,Regular (con contenido menor a 92 octanos),$23.99,
PL/3279/EXP/ES/2015,SERVICIO DAKOTA S.A. DE C.V.,Avenida Dakota 56,Gasolinas,Premium (con un índice de octano ([RON+MON]/2) mínimo de 91),$25.75,
PL/3279/EXP/ES/2015,SERVICIO DAKOTA S.A. DE C.V.,Avenida Dakota 56,Gasolinas,Regular (con un índice de octano ([RON+MON]/2) mínimo de 87),$23.85,
PL/3954/EXP/ES/2015,INN NUEVA YORK S.A. DE C.V.,Calle Georgia 37,Gasolinas,Premium (con contenido mínimo de 92 octanos),$25.99,
PL/3954/EXP/ES/2015,INN NUEVA YORK S.A. DE C.V.,Calle Georgia 37,Gasolinas,Regular (con contenido menor a 92 octanos),$24.29,
PL/4112/EXP/ES/2015,CONSORCIO GASOLINERO PLUS S.A. DE C.V.,Alfonso Xiii Esquina Obrero Mundial,Gasolinas,Premium (con contenido mínimo de 92 octanos),$25.99,
PL/4112/EXP/ES/2015,CONSORCIO GASOLINERO PLUS S.A. DE C.V.,Alfonso Xiii Esquina Obrero Mundial,Gasolinas,Regular (con contenido menor a 92 octanos),$23.99,
PL/4252/EXP/ES/2015,GAS ROAN S.A. DE C.V.,Soria 6,Gasolinas,Premium (con contenido mínimo de 92 octanos),$24.89,
PL/4252/EXP/ES/2015,GAS ROAN S.A. DE C.V.,Soria 6,Gasolinas,Regular (con contenido menor a 92 octanos),$22.99,
PL/4542/EXP/ES/2015,CONSORCIO GASOLINERO PLUS S.A. DE C.V.,Avenida Universidad 1291 Esquina Coyoacán,Gasolinas,Premium (con contenido mínimo de 92 octanos),$25.99,
PL/4542/EXP/ES/2015,CONSORCIO GASOLINERO PLUS S.A. DE C.V.,Avenida Universidad 1291 Esquina Coyoacán,Gasolinas,Regular (con contenido menor a 92 octanos),$24.79,
PL/4826/EXP/ES/2015,PROMO GAS S.A. DE C.V.,Avenida Tintoreto Eje 6 Sur 20,Diésel,Diésel Automotriz [contenido mayor de azufre a 15 mg/kg y contenido máximo de azufre de 500 mg/kg],$24.81,
PL/4826/EXP/ES/2015,PROMO GAS S.A. DE C.V.,Avenida Tintoreto Eje 6 Sur 20,Diésel,Diésel de Ultra Bajo Azufre (DUBA) [contenido máximo de azufre de 15 mg/kg],$24.81,
PL/4826/EXP/ES/2015,PROMO GAS S.A. DE C.V.,Avenida Tintoreto Eje 6 Sur 20,Gasolinas,Premium (con un índice de octano ([RON+MON]/2) mínimo de 91),$25.71,
PL/4826/EXP/ES/2015,PROMO GAS S.A. DE C.V.,Avenida Tintoreto Eje 6 Sur 20,Gasolinas,Regular (con un índice de octano ([RON+MON]/2) mínimo de 87),$23.91,
PL/5883/EXP/ES/2015,FRANCISCO PADILLA ORTIZ,Peten 228,Gasolinas,Premium (con contenido mínimo de 92 octanos),$26.05,
PL/5883/EXP/ES/2015,FRANCISCO PADILLA ORTIZ,Peten 228,Gasolinas,Regular (con contenido menor a 92 octanos),$23.99,
PL/5954/EXP/ES/2015,SERVICIO CASCADIÑA S.A. DE C.V.,Caleta 28,Gasolinas,Premium (con un índice de octano ([RON+MON]/2) mínimo de 91),$24.75,
PL/5954/EXP/ES/2015,SERVICIO CASCADIÑA S.A. DE C.V.,Caleta 28,Gasolinas,Regular (con un índice de octano ([RON+MON]/2) mínimo de 87),$22.95,
PL/615/EXP/ES/2015,PETROMAX S.A. DE C.V.,Avenida Revolución 775,Gasolinas,Premium (con contenido mínimo de 92 octanos),$26.59,
PL/615/EXP/ES/2015,PETROMAX S.A. DE C.V.,Avenida Revolución 775,Gasolinas,Regular (con contenido menor a 92 octanos),$23.99,
PL/6687/EXP/ES/2015,CONSORCIO GASOLINERO PLUS S.A. DE C.V.,Calle Murillo 21 Y Miguel Angel,Gasolinas,Premium (con contenido mínimo de 92 octanos),$25.99,
PL/6687/EXP/ES/2015,CONSORCIO GASOLINERO PLUS S.A. DE C.V.,Calle Murillo 21 Y Miguel Angel,Gasolinas,Regular (con contenido menor a 92 octanos),$24.89,
PL/6696/EXP/ES/2015,CONSORCIO GASOLINERO PLUS S.A. DE C.V.,División del Norte 804 Y Luz Savinon,Diésel,Diésel,$24.99,
PL/6696/EXP/ES/2015,CONSORCIO GASOLINERO PLUS S.A. DE C.V.,División del Norte 804 Y Luz Savinon,Gasolinas,Premium (con contenido mínimo de 92 octanos),$25.99,
PL/6696/EXP/ES/2015,CONSORCIO GASOLINERO PLUS S.A. DE C.V.,División del Norte 804 Y Luz Savinon,Gasolinas,Regular (con contenido menor a 92 octanos),$22.99,
PL/6710/EXP/ES/2015,CONSORCIO GASOLINERO PLUS S.A. DE C.V.,Avenida Coyoacan 107 Esquina Avenida Providencia,Gasolinas,Premium (con contenido mínimo de 92 octanos),$25.99,
PL/6710/EXP/ES/2015,CONSORCIO GASOLINERO PLUS S.A. DE C.V.,Avenida Coyoacan 107 Esquina Avenida Providencia,Gasolinas,Regular (con contenido menor a 92 octanos),$23.99,
PL/6749/EXP/ES/2015,CONSORCIO GASOLINERO PLUS S.A. DE C.V.,Insurgentes Sur 553 Esquina División del Norte,Gasolinas,Premium (con contenido mínimo de 92 octanos),$25.99,
PL/6749/EXP/ES/2015,CONSORCIO GASOLINERO PLUS S.A. DE C.V.,Insurgentes Sur 553 Esquina División del Norte,Gasolinas,Regular (con contenido menor a 92 octanos),$23.99,
PL/6936/EXP/ES/2015,SERVICIO EJE SEIS S.A. DE C.V.,Eje Seis Sur Independencia 110,Diésel,Diésel Automotriz [contenido mayor de azufre a 15 mg/kg y contenido máximo de azufre de 500 mg/kg],$24.89,
PL/6936/EXP/ES/2015,SERVICIO EJE SEIS S.A. DE C.V.,Eje Seis Sur Independencia 110,Gasolinas,Premium (con un índice de octano ([RON+MON]/2) mínimo de 91),$25.59,
PL/6936/EXP/ES/2015,SERVICIO EJE SEIS S.A. DE C.V.,Eje Seis Sur Independencia 110,Gasolinas,Regular (con un índice de octano ([RON+MON]/2) mínimo de 87),$23.39,
PL/6944/EXP/ES/2015,CONXO S.A. DE C.V.,Avenida Patriotismo 263,Diésel,Diésel Automotriz [contenido mayor de azufre a 15 mg/kg y contenido máximo de azufre de 500 mg/kg],$24.79,
PL/6944/EXP/ES/2015,CONXO S.A. DE C.V.,Avenida Patriotismo 263,Gasolinas,Premium (con un índice de octano ([RON+MON]/2) mínimo de 91),$25.79,
PL/6944/EXP/ES/2015,CONXO S.A. DE C.V.,Avenida Patriotismo 263,Gasolinas,Regular (con un índice de octano ([RON+MON]/2) mínimo de 87),$23.89,
PL/7395/EXP/ES/2015,SERVICIO AUTOMOTRIZ XOLA S.A. DE C.V.,Xola 135,Gasolinas,Premium (con contenido mínimo de 92 octanos),$24.74,
PL/7395/EXP/ES/2015,SERVICIO AUTOMOTRIZ XOLA S.A. DE C.V.,Xola 135,Gasolinas,Regular (con contenido menor a 92 octanos),$22.99,
PL/8535/EXP/ES/2015,SERVICIO RIVIERA S. A.,Avenida División del Norte 1231,Gasolinas,Premium (con contenido mínimo de 92 octanos),$23.97,
PL/8535/EXP/ES/2015,SERVICIO RIVIERA S. A.,Avenida División del Norte 1231,Gasolinas,Regular (con contenido menor a 92 octanos),$23.03,
PL/941/EXP/ES/2015,SERVICIO DANIELA S.A. DE C.V.,Calzada de Tlalpan 985,Diésel,Diésel Automotriz [contenido mayor de azufre a 15 mg/kg y contenido máximo de azufre de 500 mg/kg],$24.89,
PL/941/EXP/ES/2015,SERVICIO DANIELA S.A. DE C.V.,Calzada de Tlalpan 985,Gasolinas,Premium (con un índice de octano ([RON+MON]/2) mínimo de 91),$25.79,
PL/941/EXP/ES/2015,SERVICIO DANIELA S.A. DE C.V.,Calzada de Tlalpan 985,Gasolinas,Regular (con un índice de octano ([RON+MON]/2) mínimo de 87),$24.29,
PL/963/EXP/ES/2015,GPDC Estaciones de Servicio S. A. DE C. V.,Avenida Popocatépetl 415,Gasolinas,Premium (con un índice de octano ([RON+MON]/2) mínimo de 91),$26.99,
PL/963/EXP/ES/2015,GPDC Estaciones de Servicio S. A. DE C. V.,Avenida Popocatépetl 415,Gasolinas,Regular (con un índice de octano ([RON+MON]/2) mínimo de 87),$24.49,
PL/9673/EXP/ES/2015,SERVICIOS SIMPA S.A. DE C.V.,Torres Adalid 1401,Gasolinas,Regular (con contenido menor a 92 octanos),$22.80,
