No de Permiso,Nombre de la gasolinera,Dirección,Producto,Subproducto,Precio registrado
PL/2789/EXP/ES/2015,LENIGAS S.A. DE C.V.,Xola No. 732,Gasolinas,Regular (con contenido menor a 92 octanos),$22.90
PL/2789/EXP/ES/2015,LENIGAS S.A. DE C.V.,Xola No. 732,Diésel,Diésel,$24.90
PL/2789/EXP/ES/2015,LENIGAS S.A. DE C.V.,Xola No. 732,Gasolinas,Premium (con contenido mínimo de 92 octanos),$24.50
PL/2789/EXP/ES/2015,LENIGAS S.A. DE C.V.,Xola No. 732,Gasolinas,Regular (con contenido menor a 92 octanos),$22.90
PL/2789/EXP/ES/2015,LENIGAS S.A. DE C.V.,Xola No. 732,Diésel,Diésel,$24.90
PL/2789/EXP/ES/2015,LENIGAS S.A. DE C.V.,Xola No. 732,Gasolinas,Premium (con contenido mínimo de 92 octanos),$24.50
PL/2789/EXP/ES/2015,LENIGAS S.A. DE C.V.,Xola No. 732,Gasolinas,Regular (con contenido menor a 92 octanos),$22.90
PL/2789/EXP/ES/2015,LENIGAS S.A. DE C.V.,Xola No. 732,Diésel,Diésel,$24.90
PL/2789/EXP/ES/2015,LENIGAS S.A. DE C.V.,Xola No. 732,Gasolinas,Premium (con contenido mínimo de 92 octanos),$24.50
PL/2789/EXP/ES/2015,LENIGAS S.A. DE C.V.,Xola No. 732,Gasolinas,Regular (con contenido menor a 92 octanos),$22.90
PL/2901/EXP/ES/2015,SERVICIO REVOLUCIÓN 0036 S.A. DE C.V.,Avenida Revolución No. 420,Gasolinas,Premium (con un índice de octano ([RON+MON]/2) mínimo de 91),$26.99
PL/2901/EXP/ES/2015,SERVICIO REVOLUCIÓN 0036 S.A. DE C.V.,Avenida Revolución No. 420,Gasolinas,Regular (con un índice de octano ([RON+MON]/2) mínimo de 87),$24.99
PL/2901/EXP/ES/2015,SERVICIO REVOLUCIÓN 0036 S.A. DE C.V.,Avenida Revolución No. 420,Gasolinas,Premium (con un índice de octano ([RON+MON]/2) mínimo de 91),$26.99
PL/2901/EXP/ES/2015,SERVICIO REVOLUCIÓN 0036 S.A. DE C.V.,Avenida Revolución No. 420,Gasolinas,Regular (con un índice de octano ([RON+MON]/2) mínimo de 87),$24.99
PL/2901/EXP/ES/2015,SERVICIO REVOLUCIÓN 0036 S.A. DE C.V.,Avenida Revolución No. 420,Gasolinas,Premium (con un índice de octano ([RON+MON]/2) mínimo de 91),$26.99
PL/2901/EXP/ES/2015,SERVICIO REVOLUCIÓN 0036 S.A. DE C.V.,Avenida Revolución No. 420,Gasolinas,Regular (con un índice de octano ([RON+MON]/2) mínimo de 87),$24.99
PL/2901/EXP/ES/2015,SERVICIO REVOLUCIÓN 0036 S.A. DE C.V.,Avenida Revolución No. 420,Gasolinas,Premium (con un índice de octano ([RON+MON]/2) mínimo de 91),$26.99
PL/2901/EXP/ES/2015,SERVICIO REVOLUCIÓN 0036 S.A. DE C.V.,Avenida Revolución No. 420,Gasolinas,Regular (con un índice de octano ([RON+MON]/2) mínimo de 87),$24.99
PL/2904/EXP/ES/2015,SERVICIO LOS TRES COMPADRES S.A. DE C.V.,Avenida Leyes de Reforma No. 57,Diésel,Diésel Automotriz [contenido mayor de azufre a 15 mg/kg y contenido máximo de azufre de 500 mg/kg],$24.59
PL/2904/EXP/ES/2015,SERVICIO LOS TRES COMPADRES S.A. DE C.V.,Avenida Leyes de Reforma No. 57,Gasolinas,Premium (con un índice de octano ([RON+MON]/2) mínimo de 91),$24.89
PL/2904/EXP/ES/2015,SERVICIO LOS TRES COMPADRES S.A. DE C.V.,Avenida Leyes de Reforma No. 57,Gasolinas,Regular (con un índice de octano ([RON+MON]/2) mínimo de 87),$23.49
PL/2951/EXP/ES/2015,CONSORCIO GASOLINERA CENTRAL IV S.A. DE C.V.,Avenida Javier Rojo Gómez No. 645,Diésel,Diésel,$24.59
PL/2951/EXP/ES/2015,CONSORCIO GASOLINERA CENTRAL IV S.A. DE C.V.,Avenida Javier Rojo Gómez No. 645,Gasolinas,Premium (con contenido mínimo de 92 octanos),$24.79
PL/2951/EXP/ES/2015,CONSORCIO GASOLINERA CENTRAL IV S.A. DE C.V.,Avenida Javier Rojo Gómez No. 645,Gasolinas,Regular (con contenido menor a 92 octanos),$23.19
PL/3059/EXP/ES/2015,BENZINA S.A. DE C.V.,Boulevard Adolfo López Mateos No. 315,Gasolinas,Premium (con un índice de octano ([RON+MON]/2) mínimo de 91),$25.75
PL/3059/EXP/ES/2015,BENZINA S.A. DE C.V.,Boulevard Adolfo López Mateos No. 315,Gasolinas,Regular (con un índice de octano ([RON+MON]/2) mínimo de 87),$23.94
PL/3059/EXP/ES/2015,BENZINA S.A. DE C.V.,Boulevard Adolfo López Mateos No. 315,Gasolinas,Premium (con un índice de octano ([RON+MON]/2) mínimo de 91),$25.75
PL/3059/EXP/ES/2015,BENZINA S.A. DE C.V.,Boulevard Adolfo López Mateos No. 315,Gasolinas,Regular (con un índice de octano ([RON+MON]/2) mínimo de 87),$23.94
PL/3059/EXP/ES/2015,BENZINA S.A. DE C.V.,Boulevard Adolfo López Mateos No. 315,Gasolinas,Premium (con un índice de octano ([RON+MON]/2) mínimo de 91),$25.75
PL/3059/EXP/ES/2015,BENZINA S.A. DE C.V.,Boulevard Adolfo López Mateos No. 315,Gasolinas,Regular (con un índice de octano ([RON+MON]/2) mínimo de 87),$23.94
PL/3059/EXP/ES/2015,BENZINA S.A. DE C.V.,Boulevard Adolfo López Mateos No. 315,Gasolinas,Premium (con un índice de octano ([RON+MON]/2) mínimo de 91),$25.75
PL/3059/EXP/ES/2015,BENZINA S.A. DE C.V.,Boulevard Adolfo López Mateos No. 315,Gasolinas,Regular (con un índice de octano ([RON+MON]/2) mínimo de 87),$23.94
PL/3151/EXP/ES/2015,SERVICIO MIRAMONTES S. A.,Avenida Plutarco Elías Calles No. 1637,Gasolinas,Premium (con contenido mínimo de 92 octanos),$24.69
PL/3151/EXP/ES/2015,SERVICIO MIRAMONTES S. A.,Avenida Plutarco Elías Calles No. 1637,Gasolinas,Regular (con contenido menor a 92 octanos),$23.49
PL/3151/EXP/ES/2015,SERVICIO MIRAMONTES S. A.,Avenida Plutarco Elías Calles No. 1637,Gasolinas,Premium (con contenido mínimo de 92 octanos),$24.69
PL/3151/EXP/ES/2015,SERVICIO MIRAMONTES S. A.,Avenida Plutarco Elías Calles No. 1637,Gasolinas,Regular (con contenido menor a 92 octanos),$23.49
PL/3151/EXP/ES/2015,SERVICIO MIRAMONTES S. A.,Avenida Plutarco Elías Calles No. 1637,Gasolinas,Premium (con contenido mínimo de 92 octanos),$24.69
PL/3151/EXP/ES/2015,SERVICIO MIRAMONTES S. A.,Avenida Plutarco Elías Calles No. 1637,Gasolinas,Regular (con contenido menor a 92 octanos),$23.49
PL/3151/EXP/ES/2015,SERVICIO MIRAMONTES S. A.,Avenida Plutarco Elías Calles No. 1637,Gasolinas,Premium (con contenido mínimo de 92 octanos),$24.69
PL/3151/EXP/ES/2015,SERVICIO MIRAMONTES S. A.,Avenida Plutarco Elías Calles No. 1637,Gasolinas,Regular (con contenido menor a 92 octanos),$23.49
PL/3188/EXP/ES/2015,GAS ABASTO S.A. DE C.V.,Canal de Río Churubusco No. 2,Diésel,Diésel,$24.99
PL/3188/EXP/ES/2015,GAS ABASTO S.A. DE C.V.,Canal de Río Churubusco No. 2,Gasolinas,Premium (con contenido mínimo de 92 octanos),$25.29
PL/3188/EXP/ES/2015,GAS ABASTO S.A. DE C.V.,Canal de Río Churubusco No. 2,Gasolinas,Regular (con contenido menor a 92 octanos),$24.29
PL/3202/EXP/ES/2015,CONSORCIO GASOLINERO PLUS S.A. DE C.V.,Alfonso Y Xola No. 18,Gasolinas,Premium (con contenido mínimo de 92 octanos),$24.89
PL/3202/EXP/ES/2015,CONSORCIO GASOLINERO PLUS S.A. DE C.V.,Alfonso Y Xola No. 18,Gasolinas,Regular (con contenido menor a 92 octanos),$23.29
PL/3202/EXP/ES/2015,CONSORCIO GASOLINERO PLUS S.A. DE C.V.,Alfonso Y Xola No. 18,Gasolinas,Premium (con contenido mínimo de 92 octanos),$24.89
PL/3202/EXP/ES/2015,CONSORCIO GASOLINERO PLUS S.A. DE C.V.,Alfonso Y Xola No. 18,Gasolinas,Regular (con contenido menor a 92 octanos),$23.29
PL/3202/EXP/ES/2015,CONSORCIO GASOLINERO PLUS S.A. DE C.V.,Alfonso Y Xola No. 18,Gasolinas,Premium (con contenido mínimo de 92 octanos),$24.89
PL/3202/EXP/ES/2015,CONSORCIO GASOLINERO PLUS S.A. DE C.V.,Alfonso Y Xola No. 18,Gasolinas,Regular (con contenido menor a 92 octanos),$23.29
PL/3202/EXP/ES/2015,CONSORCIO GASOLINERO PLUS S.A. DE C.V.,Alfonso Y Xola No. 18,Gasolinas,Premium (con contenido mínimo de 92 octanos),$24.89
PL/3202/EXP/ES/2015,CONSORCIO GASOLINERO PLUS S.A. DE C.V.,Alfonso Y Xola No. 18,Gasolinas,Regular (con contenido menor a 92 octanos),$23.29
PL/3204/EXP/ES/2015,CONSORCIO GASOLINERO PLUS S.A. DE C.V.,Calzada de Tlalpan No. 1395,Gasolinas,Premium (con contenido mínimo de 92 octanos),$26.39
PL/3204/EXP/ES/2015,CONSORCIO GASOLINERO PLUS S.A. DE C.V.,Calzada de Tlalpan No. 1395,Gasolinas,Regular (con contenido menor a 92 octanos),$23.99
PL/3204/EXP/ES/2015,CONSORCIO GASOLINERO PLUS S.A. DE C.V.,Calzada de Tlalpan No. 1395,Gasolinas,Premium (con contenido mínimo de 92 octanos),$26.39
PL/3204/EXP/ES/2015,CONSORCIO GASOLINERO PLUS S.A. DE C.V.,Calzada de Tlalpan No. 1395,Gasolinas,Regular (con contenido menor a 92 octanos),$23.99
PL/3204/EXP/ES/2015,CONSORCIO GASOLINERO PLUS S.A. DE C.V.,Calzada de Tlalpan No. 1395,Gasolinas,Premium (con contenido mínimo de 92 octanos),$26.39
PL/3204/EXP/ES/2015,CONSORCIO GASOLINERO PLUS S.A. DE C.V.,Calzada de Tlalpan No. 1395,Gasolinas,Regular (con contenido menor a 92 octanos),$23.99
PL/3204/EXP/ES/2015,CONSORCIO GASOLINERO PLUS S.A. DE C.V.,Calzada de Tlalpan No. 1395,Gasolinas,Premium (con contenido mínimo de 92 octanos),$26.39
PL/3204/EXP/ES/2015,CONSORCIO GASOLINERO PLUS S.A. DE C.V.,Calzada de Tlalpan No. 1395,Gasolinas,Regular (con contenido menor a 92 octanos),$23.99
PL/3279/EXP/ES/2015,SERVICIO DAKOTA S.A. DE C.V.,Avenida Dakota No. 56,Gasolinas,Premium (con un índice de octano ([RON+MON]/2) mínimo de 91),$25.85
PL/3279/EXP/ES/2015,SERVICIO DAKOTA S.A. DE C.V.,Avenida Dakota No. 56,Gasolinas,Regular (con un índice de octano ([RON+MON]/2) mínimo de 87),$23.85
PL/3279/EXP/ES/2015,SERVICIO DAKOTA S.A. DE C.V.,Avenida Dakota No. 56,Gasolinas,Premium (con un índice de octano ([RON+MON]/2) mínimo de 91),$25.85
PL/3279/EXP/ES/2015,SERVICIO DAKOTA S.A. DE C.V.,Avenida Dakota No. 56,Gasolinas,Regular (con un índice de octano ([RON+MON]/2) mínimo de 87),$23.85
PL/3279/EXP/ES/2015,SERVICIO DAKOTA S.A. DE C.V.,Avenida Dakota No. 56,Gasolinas,Premium (con un índice de octano ([RON+MON]/2) mínimo de 91),$25.85
PL/3279/EXP/ES/2015,SERVICIO DAKOTA S.A. DE C.V.,Avenida Dakota No. 56,Gasolinas,Regular (con un índice de octano ([RON+MON]/2) mínimo de 87),$23.85
PL/3279/EXP/ES/2015,SERVICIO DAKOTA S.A. DE C.V.,Avenida Dakota No. 56,Gasolinas,Premium (con un índice de octano ([RON+MON]/2) mínimo de 91),$25.85
PL/3279/EXP/ES/2015,SERVICIO DAKOTA S.A. DE C.V.,Avenida Dakota No. 56,Gasolinas,Regular (con un índice de octano ([RON+MON]/2) mínimo de 87),$23.85
PL/3324/EXP/ES/2015,REFACCIONES MODERNAS ROMERO HNOS S.A. DE C.V.,Avenida Ermita Iztapalapa No. 4020,Diésel,Diésel,$25.30
PL/3324/EXP/ES/2015,REFACCIONES MODERNAS ROMERO HNOS S.A. DE C.V.,Avenida Ermita Iztapalapa No. 4020,Gasolinas,Regular (con contenido menor a 92 octanos),$24.98
PL/3954/EXP/ES/2015,INN NUEVA YORK S.A. DE C.V.,Calle Georgia No. 37,Gasolinas,Premium (con contenido mínimo de 92 octanos),$26.19
PL/3954/EXP/ES/2015,INN NUEVA YORK S.A. DE C.V.,Calle Georgia No. 37,Gasolinas,Regular (con contenido menor a 92 octanos),$24.49
PL/3954/EXP/ES/2015,INN NUEVA YORK S.A. DE C.V.,Calle Georgia No. 37,Gasolinas,Premium (con contenido mínimo de 92 octanos),$26.19
PL/3954/EXP/ES/2015,INN NUEVA YORK S.A. DE C.V.,Calle Georgia No. 37,Gasolinas,Regular (con contenido menor a 92 octanos),$24.49
PL/3954/EXP/ES/2015,INN NUEVA YORK S.A. DE C.V.,Calle Georgia No. 37,Gasolinas,Premium (con contenido mínimo de 92 octanos),$26.19
PL/3954/EXP/ES/2015,INN NUEVA YORK S.A. DE C.V.,Calle Georgia No. 37,Gasolinas,Regular (con contenido menor a 92 octanos),$24.49
PL/3954/EXP/ES/2015,INN NUEVA YORK S.A. DE C.V.,Calle Georgia No. 37,Gasolinas,Premium (con contenido mínimo de 92 octanos),$26.19
PL/3954/EXP/ES/2015,INN NUEVA YORK S.A. DE C.V.,Calle Georgia No. 37,Gasolinas,Regular (con contenido menor a 92 octanos),$24.49
PL/4112/EXP/ES/2015,CONSORCIO GASOLINERO PLUS S.A. DE C.V.,Alfonso Xiii Esquina Obrero Mundial,Gasolinas,Premium (con contenido mínimo de 92 octanos),$26.49
PL/4112/EXP/ES/2015,CONSORCIO GASOLINERO PLUS S.A. DE C.V.,Alfonso Xiii Esquina Obrero Mundial,Gasolinas,Regular (con contenido menor a 92 octanos),$23.99
PL/4112/EXP/ES/2015,CONSORCIO GASOLINERO PLUS S.A. DE C.V.,Alfonso Xiii Esquina Obrero Mundial,Gasolinas,Premium (con contenido mínimo de 92 octanos),$26.49
PL/4112/EXP/ES/2015,CONSORCIO GASOLINERO PLUS S.A. DE C.V.,Alfonso Xiii Esquina Obrero Mundial,Gasolinas,Regular (con contenido menor a 92 octanos),$23.99
PL/4112/EXP/ES/2015,CONSORCIO GASOLINERO PLUS S.A. DE C.V.,Alfonso Xiii Esquina Obrero Mundial,Gasolinas,Premium (con contenido mínimo de 92 octanos),$26.49
PL/4112/EXP/ES/2015,CONSORCIO GASOLINERO PLUS S.A. DE C.V.,Alfonso Xiii Esquina Obrero Mundial,Gasolinas,Regular (con contenido menor a 92 octanos),$23.99
PL/4112/EXP/ES/2015,CONSORCIO GASOLINERO PLUS S.A. DE C.V.,Alfonso Xiii Esquina Obrero Mundial,Gasolinas,Premium (con contenido mínimo de 92 octanos),$26.49
PL/4112/EXP/ES/2015,CONSORCIO GASOLINERO PLUS S.A. DE C.V.,Alfonso Xiii Esquina Obrero Mundial,Gasolinas,Regular (con contenido menor a 92 octanos),$23.99
PL/4164/EXP/ES/2015,FUENTE LAS VARAS,Avenida Tlahuac No. 331 Y 333,Gasolinas,Premium (con contenido mínimo de 92 octanos),$24.99
PL/4164/EXP/ES/2015,FUENTE LAS VARAS,Avenida Tlahuac No. 331 Y 333,Gasolinas,Regular (con contenido menor a 92 octanos),$23.99
PL/4166/EXP/ES/2015,SERVICIO EL ESCUDO S.A. DE C.V.,Prolongación Arneses No. 550,Diésel,Diésel,$24.19
PL/4166/EXP/ES/2015,SERVICIO EL ESCUDO S.A. DE C.V.,Prolongación Arneses No. 550,Gasolinas,Premium (con contenido mínimo de 92 octanos),$24.99
PL/4166/EXP/ES/2015,SERVICIO EL ESCUDO S.A. DE C.V.,Prolongación Arneses No. 550,Gasolinas,Regular (con contenido menor a 92 octanos),$23.99
PL/4170/EXP/ES/2015,PUERTO ALISAS S.A. DE C.V.,Calle Tianguis No. 16,Gasolinas,Premium (con contenido mínimo de 92 octanos),$25.29
PL/4170/EXP/ES/2015,PUERTO ALISAS S.A. DE C.V.,Calle Tianguis No. 16,Gasolinas,Regular (con contenido menor a 92 octanos),$23.39
PL/4252/EXP/ES/2015,GAS ROAN S.A. DE C.V.,Soria No. 6,Gasolinas,Premium (con contenido mínimo de 92 octanos),$24.99
PL/4252/EXP/ES/2015,GAS ROAN S.A. DE C.V.,Soria No. 6,Gasolinas,Regular (con contenido menor a 92 octanos),$23.09
PL/4252/EXP/ES/2015,GAS ROAN S.A. DE C.V.,Soria No. 6,Gasolinas,Premium (con contenido mínimo de 92 octanos),$24.99
PL/4252/EXP/ES/2015,GAS ROAN S.A. DE C.V.,Soria No. 6,Gasolinas,Regular (con contenido menor a 92 octanos),$23.09
PL/4252/EXP/ES/2015,GAS ROAN S.A. DE C.V.,Soria No. 6,Gasolinas,Premium (con contenido mínimo de 92 octanos),$24.99
PL/4252/EXP/ES/2015,GAS ROAN S.A. DE C.V.,Soria No. 6,Gasolinas,Regular (con contenido menor a 92 octanos),$23.09
PL/4252/EXP/ES/2015,GAS ROAN S.A. DE C.V.,Soria No. 6,Gasolinas,Premium (con contenido mínimo de 92 octanos),$24.99
PL/4252/EXP/ES/2015,GAS ROAN S.A. DE C.V.,Soria No. 6,Gasolinas,Regular (con contenido menor a 92 octanos),$23.09
PL/4388/EXP/ES/2015,ABASTECEDORA SUZUKA S.A. DE C.V.,Avenida Leyes de Reforma No. 1,Diésel,Diésel,$24.76
PL/4388/EXP/ES/2015,ABASTECEDORA SUZUKA S.A. DE C.V.,Avenida Leyes de Reforma No. 1,Gasolinas,Premium (con contenido mínimo de 92 octanos),$23.95
PL/4388/EXP/ES/2015,ABASTECEDORA SUZUKA S.A. DE C.V.,Avenida Leyes de Reforma No. 1,Gasolinas,Regular (con contenido menor a 92 octanos),$23.15
PL/4542/EXP/ES/2015,CONSORCIO GASOLINERO PLUS S.A. DE C.V.,Avenida Universidad No. 1291 Esquina Coyoacán,Gasolinas,Premium (con contenido mínimo de 92 octanos),$26.39
PL/4542/EXP/ES/2015,CONSORCIO GASOLINERO PLUS S.A. DE C.V.,Avenida Universidad No. 1291 Esquina Coyoacán,Gasolinas,Regular (con contenido menor a 92 octanos),$24.39
PL/4542/EXP/ES/2015,CONSORCIO GASOLINERO PLUS S.A. DE C.V.,Avenida Universidad No. 1291 Esquina Coyoacán,Gasolinas,Premium (con contenido mínimo de 92 octanos),$26.39
PL/4542/EXP/ES/2015,CONSORCIO GASOLINERO PLUS S.A. DE C.V.,Avenida Universidad No. 1291 Esquina Coyoacán,Gasolinas,Regular (con contenido menor a 92 octanos),$24.39
PL/4542/EXP/ES/2015,CONSORCIO GASOLINERO PLUS S.A. DE C.V.,Avenida Universidad No. 1291 Esquina Coyoacán,Gasolinas,Premium (con contenido mínimo de 92 octanos),$26.39
PL/4542/EXP/ES/2015,CONSORCIO GASOLINERO PLUS S.A. DE C.V.,Avenida Universidad No. 1291 Esquina Coyoacán,Gasolinas,Regular (con contenido menor a 92 octanos),$24.39
PL/4542/EXP/ES/2015,CONSORCIO GASOLINERO PLUS S.A. DE C.V.,Avenida Universidad No. 1291 Esquina Coyoacán,Gasolinas,Premium (con contenido mínimo de 92 octanos),$26.39
PL/4542/EXP/ES/2015,CONSORCIO GASOLINERO PLUS S.A. DE C.V.,Avenida Universidad No. 1291 Esquina Coyoacán,Gasolinas,Regular (con contenido menor a 92 octanos),$24.39
PL/472/EXP/ES/2015,PETROMAX S.A. DE C.V.,Avenida San Lorenzo Tezonco No. 429,Gasolinas,Premium (con contenido mínimo de 92 octanos),$26.49
PL/472/EXP/ES/2015,PETROMAX S.A. DE C.V.,Avenida San Lorenzo Tezonco No. 429,Gasolinas,Regular (con contenido menor a 92 octanos),$23.99
PL/4769/EXP/ES/2015,ALBERTO CABALLERO NAVARRO,Calzada Ermita Iztapalapa No. 221,Gasolinas,Premium (con contenido mínimo de 92 octanos),$25.53
PL/4769/EXP/ES/2015,ALBERTO CABALLERO NAVARRO,Calzada Ermita Iztapalapa No. 221,Gasolinas,Regular (con contenido menor a 92 octanos),$23.73
PL/4826/EXP/ES/2015,PROMO GAS S.A. DE C.V.,Avenida Tintoreto Eje 6 Sur No. 20,Diésel,Diésel Automotriz [contenido mayor de azufre a 15 mg/kg y contenido máximo de azufre de 500 mg/kg],$24.81
PL/4826/EXP/ES/2015,PROMO GAS S.A. DE C.V.,Avenida Tintoreto Eje 6 Sur No. 20,Diésel,Diésel de Ultra Bajo Azufre (DUBA) [contenido máximo de azufre de 15 mg/kg],$24.81
PL/4826/EXP/ES/2015,PROMO GAS S.A. DE C.V.,Avenida Tintoreto Eje 6 Sur No. 20,Gasolinas,Premium (con un índice de octano ([RON+MON]/2) mínimo de 91),$25.71
PL/4826/EXP/ES/2015,PROMO GAS S.A. DE C.V.,Avenida Tintoreto Eje 6 Sur No. 20,Gasolinas,Regular (con un índice de octano ([RON+MON]/2) mínimo de 87),$23.91
PL/4826/EXP/ES/2015,PROMO GAS S.A. DE C.V.,Avenida Tintoreto Eje 6 Sur No. 20,Diésel,Diésel Automotriz [contenido mayor de azufre a 15 mg/kg y contenido máximo de azufre de 500 mg/kg],$24.81
PL/4826/EXP/ES/2015,PROMO GAS S.A. DE C.V.,Avenida Tintoreto Eje 6 Sur No. 20,Diésel,Diésel de Ultra Bajo Azufre (DUBA) [contenido máximo de azufre de 15 mg/kg],$24.81
PL/4826/EXP/ES/2015,PROMO GAS S.A. DE C.V.,Avenida Tintoreto Eje 6 Sur No. 20,Gasolinas,Premium (con un índice de octano ([RON+MON]/2) mínimo de 91),$25.71
PL/4826/EXP/ES/2015,PROMO GAS S.A. DE C.V.,Avenida Tintoreto Eje 6 Sur No. 20,Gasolinas,Regular (con un índice de octano ([RON+MON]/2) mínimo de 87),$23.91
PL/4826/EXP/ES/2015,PROMO GAS S.A. DE C.V.,Avenida Tintoreto Eje 6 Sur No. 20,Diésel,Diésel Automotriz [contenido mayor de azufre a 15 mg/kg y contenido máximo de azufre de 500 mg/kg],$24.81
PL/4826/EXP/ES/2015,PROMO GAS S.A. DE C.V.,Avenida Tintoreto Eje 6 Sur No. 20,Diésel,Diésel de Ultra Bajo Azufre (DUBA) [contenido máximo de azufre de 15 mg/kg],$24.81
PL/4826/EXP/ES/2015,PROMO GAS S.A. DE C.V.,Avenida Tintoreto Eje 6 Sur No. 20,Gasolinas,Premium (con un índice de octano ([RON+MON]/2) mínimo de 91),$25.71
PL/4826/EXP/ES/2015,PROMO GAS S.A. DE C.V.,Avenida Tintoreto Eje 6 Sur No. 20,Gasolinas,Regular (con un índice de octano ([RON+MON]/2) mínimo de 87),$23.91
PL/4826/EXP/ES/2015,PROMO GAS S.A. DE C.V.,Avenida Tintoreto Eje 6 Sur No. 20,Diésel,Diésel Automotriz [contenido mayor de azufre a 15 mg/kg y contenido máximo de azufre de 500 mg/kg],$24.81
PL/4826/EXP/ES/2015,PROMO GAS S.A. DE C.V.,Avenida Tintoreto Eje 6 Sur No. 20,Diésel,Diésel de Ultra Bajo Azufre (DUBA) [contenido máximo de azufre de 15 mg/kg],$24.81
PL/4826/EXP/ES/2015,PROMO GAS S.A. DE C.V.,Avenida Tintoreto Eje 6 Sur No. 20,Gasolinas,Premium (con un índice de octano ([RON+MON]/2) mínimo de 91),$25.71
PL/4826/EXP/ES/2015,PROMO GAS S.A. DE C.V.,Avenida Tintoreto Eje 6 Sur No. 20,Gasolinas,Regular (con un índice de octano ([RON+MON]/2) mínimo de 87),$23.91
PL/4917/EXP/ES/2015,PUERTO ALISAS S.A. DE C.V.,Marcelino Buendia No. 92,Diésel,Diésel,$24.59
PL/4962/EXP/ES/2015,AGUILAR CORDERO ERNESTO,Calzada Ignacio Zaragoza No. 2275,Diésel,Diésel,$24.29
PL/4962/EXP/ES/2015,AGUILAR CORDERO ERNESTO,Calzada Ignacio Zaragoza No. 2275,Gasolinas,Premium (con contenido mínimo de 92 octanos),$25.09
PL/4962/EXP/ES/2015,AGUILAR CORDERO ERNESTO,Calzada Ignacio Zaragoza No. 2275,Gasolinas,Regular (con contenido menor a 92 octanos),$23.79
PL/5267/EXP/ES/2015,JU VITA S.A. DE C.V.,Avenida Javier Rojo Gomez No. 531,Diésel,Diésel Automotriz [contenido mayor de azufre a 15 mg/kg y contenido máximo de azufre de 500 mg/kg],$24.39
PL/5267/EXP/ES/2015,JU VITA S.A. DE C.V.,Avenida Javier Rojo Gomez No. 531,Gasolinas,Premium (con un índice de octano ([RON+MON]/2) mínimo de 91),$24.69
PL/5267/EXP/ES/2015,JU VITA S.A. DE C.V.,Avenida Javier Rojo Gomez No. 531,Gasolinas,Regular (con un índice de octano ([RON+MON]/2) mínimo de 87),$23.09
PL/5306/EXP/ES/2015,SERVICIO TRES ENCINAS S.A. DE C.V.,Eje 5 Sur No. 44,Diésel,Diésel,$24.69
PL/5306/EXP/ES/2015,SERVICIO TRES ENCINAS S.A. DE C.V.,Eje 5 Sur No. 44,Gasolinas,Premium (con contenido mínimo de 92 octanos),$25.29
PL/5306/EXP/ES/2015,SERVICIO TRES ENCINAS S.A. DE C.V.,Eje 5 Sur No. 44,Gasolinas,Regular (con contenido menor a 92 octanos),$23.49
PL/5312/EXP/ES/2015,INMOBILIARIA AJA GOMEZ S.A. DE C.V.,Eje 6 Sur No. 955,Gasolinas,Premium (con un índice de octano ([RON+MON]/2) mínimo de 91),$25.29
PL/5312/EXP/ES/2015,INMOBILIARIA AJA GOMEZ S.A. DE C.V.,Eje 6 Sur No. 955,Gasolinas,Regular (con un índice de octano ([RON+MON]/2) mínimo de 87),$23.49
PL/5330/EXP/ES/2015,SERVICIO APATLACO S.A. DE C.V.,Avenida Apatlaco No. 307,Gasolina,Premium (con un índice de octano ([RON+MON]/2) mínimo de 91),$25.56
PL/5330/EXP/ES/2015,SERVICIO APATLACO S.A. DE C.V.,Avenida Apatlaco No. 307,Gasolina,Regular (con un índice de octano ([RON+MON]/2) mínimo de 87),$24.71
PL/5330/EXP/ES/2015,SERVICIO APATLACO S.A. DE C.V.,Avenida Apatlaco No. 307,Gasolinas,Premium (con un índice de octano ([RON+MON]/2) mínimo de 91),$25.56
PL/5330/EXP/ES/2015,SERVICIO APATLACO S.A. DE C.V.,Avenida Apatlaco No. 307,Gasolinas,Regular (con un índice de octano ([RON+MON]/2) mínimo de 87),$24.71
PL/5332/EXP/ES/2015,SERVICIO LOMAS ESTRELLA S.A. DE C.V.,Avenida Tlahuac No. 4344,Diésel,Diésel Automotriz,$24.64
PL/5332/EXP/ES/2015,SERVICIO LOMAS ESTRELLA S.A. DE C.V.,Avenida Tlahuac No. 4344,Gasolina,Premium (con un índice de octano ([RON+MON]/2) mínimo de 91),$25.49
PL/5332/EXP/ES/2015,SERVICIO LOMAS ESTRELLA S.A. DE C.V.,Avenida Tlahuac No. 4344,Gasolina,Regular (con un índice de octano ([RON+MON]/2) mínimo de 87),$24.71
PL/5332/EXP/ES/2015,SERVICIO LOMAS ESTRELLA S.A. DE C.V.,Avenida Tlahuac No. 4344,Gasolinas,Premium (con un índice de octano ([RON+MON]/2) mínimo de 91),$25.49
PL/5332/EXP/ES/2015,SERVICIO LOMAS ESTRELLA S.A. DE C.V.,Avenida Tlahuac No. 4344,Gasolinas,Regular (con un índice de octano ([RON+MON]/2) mínimo de 87),$24.71
PL/5488/EXP/ES/2015,ESTACIONES ESCOLOGICAS DE SERVICIOS S.A. DE C.V.,Calzada Ignacio Zaragoza No. 1535,Diésel,Diésel,$24.97
